*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	617
Max./um	1080.02
Min./um	16.18
Mean/um	348.63
No.	Particle size/um
165	421.66	
166	161.99	
167	150.56	
168	96.92	
169	108.10	
170	172.90	
171	165.06	
172	145.50	
173	244.61	
174	337.97	
175	368.67	
176	181.26	
177	295.66	
178	176.95	
179	524.11	
180	228.84	
181	262.83	
182	400.75	
183	192.44	
184	224.18	
185	237.69	
186	280.89	
187	146.62	
188	283.70	
189	324.89	
190	191.41	
191	465.36	
192	432.54	
193	442.44	
194	375.41	
195	294.25	
196	642.11	
197	291.43	
198	422.11	
199	365.61	
200	368.00	
201	338.48	
202	516.95	
203	440.24	
204	376.29	
205	186.10	
206	271.29	
207	387.95	
208	94.20	
209	233.12	
210	210.57	
211	356.07	
212	195.52	
213	198.45	
214	210.22	
215	384.11	
216	172.19	
217	238.16	
218	213.05	
219	653.13	
220	397.97	
221	173.01	
222	375.81	
223	250.59	
224	497.59	
225	418.19	
226	282.17	
227	323.10	
228	305.32	
229	211.47	
230	354.67	
231	263.51	
232	217.95	
233	275.90	
234	460.39	
235	434.51	
236	368.32	
237	364.86	
238	356.80	
239	376.58	
240	242.91	
241	425.56	
242	355.20	
243	477.71	
244	445.79	
245	453.34	
246	156.91	
247	79.29	
248	92.20	
249	448.30	
250	358.85	
251	511.18	
252	186.01	
253	277.12	
254	295.32	
255	512.37	
256	334.21	
257	367.07	
258	328.45	
259	238.48	
260	281.55	
261	421.87	
262	89.71	
263	256.52	
264	178.22	
265	259.13	
266	98.40	
267	94.54	
268	197.77	
269	252.27	
270	244.95	
271	179.68	
272	275.81	
273	362.94	
274	341.42	
275	363.43	
276	312.83	
277	405.04	
278	345.08	
279	255.93	
280	266.10	
281	344.54	
282	171.75	
283	248.90	
284	515.72	
285	185.55	
286	377.95	
287	182.42	
288	202.49	
289	342.77	
290	336.76	
291	144.60	
292	297.12	
293	221.19	
294	258.17	
295	420.81	
296	374.08	
297	244.10	
298	199.95	
299	592.80	
300	409.52	
301	592.12	
302	248.49	
303	216.85	
304	218.22	
305	145.03	
306	185.50	
307	438.21	
308	365.90	
309	395.89	
310	320.03	
311	250.08	
312	92.30	
313	384.22	
314	92.75	
315	356.02	
316	439.15	
317	789.76	
318	355.45	
319	146.37	
320	365.83	
321	264.18	
322	205.38	
323	135.22	
324	170.26	
325	203.44	
326	134.80	
327	149.51	
328	99.40	
329	388.75	
330	366.69	
331	308.79	
332	254.84	
333	335.40	
334	186.03	
335	444.27	
336	703.13	
337	453.17	
338	269.61	
339	513.38	
340	366.74	
341	269.46	
342	104.64	
343	284.57	
344	416.71	
345	431.38	
346	336.41	
347	545.44	
348	461.23	
349	314.39	
350	620.59	
351	199.43	
352	325.16	
353	152.13	
354	524.87	
355	313.39	
356	434.52	
357	494.95	
358	407.84	
359	347.43	
360	405.09	
361	499.82	
362	482.92	
363	177.98	
364	297.80	
365	214.68	
366	133.90	
367	156.73	
368	400.18	
369	571.07	
370	194.73	
371	277.14	
372	320.24	
373	506.24	
374	441.25	
375	383.21	
376	230.73	
377	368.11	
378	378.92	
379	370.47	
380	688.79	
381	552.17	
382	149.14	
383	269.67	
384	283.79	
385	345.82	
386	501.80	
387	565.17	
388	216.94	
389	320.69	
390	474.91	
391	657.69	
392	392.74	
393	293.06	
394	420.75	
395	380.03	
396	450.15	
397	470.30	
398	556.63	
399	524.65	
400	335.14	
401	576.53	
402	443.36	
403	270.44	
404	539.84	
405	377.77	
406	475.24	
407	411.70	
408	101.72	
409	249.15	
410	118.31	
411	381.44	
412	233.45	
413	214.00	
414	429.02	
415	258.04	
416	592.87	
417	636.28	
418	160.21	
419	427.97	
420	122.21	
421	209.66	
422	248.14	
423	95.37	
424	126.29	
425	377.52	
426	138.20	
427	176.63	
428	102.98	
429	169.28	
430	205.38	
431	351.92	
432	596.24	
433	140.61	
434	124.07	
435	171.26	
436	334.05	
437	194.72	
438	151.37	
439	196.14	
440	306.36	
441	238.24	
442	240.86	
443	211.72	
444	151.04	
445	214.61	
446	228.82	
447	208.14	
448	219.42	
449	269.46	
450	219.79	
451	114.59	
452	132.09	
453	197.86	
454	366.42	
455	307.40	
456	375.40	
457	480.41	
458	452.26	
459	443.64	
460	410.86	
461	308.59	
462	291.57	
463	358.78	
464	338.44	
465	212.09	
466	118.22	
467	146.65	
468	190.72	
469	383.91	
470	143.17	
471	146.61	
472	137.46	
473	158.51	
474	248.66	
475	516.33	
476	80.11	
477	102.98	
478	405.46	
479	173.86	
480	272.03	
481	198.19	
482	419.47	
483	121.97	
484	278.35	
485	690.61	
486	482.82	
487	343.12	
488	550.69	
489	629.64	
490	405.95	
491	499.36	
492	717.93	
493	260.59	
494	282.49	
495	214.71	
496	344.94	
497	380.24	
498	261.36	
499	154.14	
500	173.93	
501	320.17	
502	188.34	
503	448.71	
504	413.36	
505	531.45	
506	341.81	
507	290.16	
508	292.80	
509	453.69	
510	501.31	
511	543.03	
512	535.44	
513	463.59	
514	485.90	
515	388.09	
516	86.93	
517	460.38	
518	163.94	
519	245.38	
520	237.33	
521	313.39	
522	213.97	
523	316.46	
524	327.48	
525	308.81	
526	175.98	
527	218.34	
528	205.31	
529	402.71	
530	229.27	
531	429.05	
532	529.89	
533	638.44	
534	312.21	
535	480.68	
536	511.43	
537	494.89	
538	443.50	
539	542.81	
540	741.13	
541	361.87	
542	381.09	
543	395.73	
544	492.04	
545	260.94	
546	312.21	
547	453.94	
548	390.32	
549	278.37	
550	253.05	
551	241.29	
552	116.31	
553	439.94	
554	283.66	
555	310.65	
556	369.81	
557	195.95	
558	345.16	
559	187.04	
560	460.36	
561	369.76	
562	272.49	
563	407.93	
564	335.32	
565	145.04	
566	135.15	
567	203.13	
568	347.51	
569	378.56	
570	411.77	
571	535.16	
572	420.88	
573	289.67	
574	243.93	
575	214.68	
576	429.75	
577	288.40	
578	129.59	
579	192.32	
580	233.94	
581	441.12	
582	183.94	
583	195.99	
584	449.63	
585	424.58	
586	100.28	
587	194.72	
588	149.44	
589	238.24	
590	175.95	
591	146.37	
592	115.18	
593	216.94	
594	277.54	
595	148.69	
596	316.50	
597	239.31	
598	279.60	
599	231.87	
600	113.29	
601	91.80	
602	16.18	
603	202.89	
604	323.63	
605	225.16	
606	264.32	
607	237.33	
608	467.28	
609	195.27	
610	251.56	
611	321.43	
612	286.51	
613	288.40	
614	442.37	
615	252.57	
616	260.94	
617	274.77	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
16-122.5	69.25	31	5.02%
122.5-229	175.75	128	20.75%
229-335.5	282.25	146	23.66%
335.5-442	388.75	153	24.80%
442-548.5	495.25	94	15.24%
548.5-655	601.75	40	6.48%
655-761.5	708.25	18	2.92%
761.5-868	814.75	5	0.81%
868-974.5	921.25	1	0.16%
974.5-1081	1027.75	1	0.16%
********************************************************

