Time (s)	Shear rate (1/s), Domain Probe 1	maximum_linear_speed_of_object, Domain Probe 2
0.025466	514.64	NaN
0.025557	515.38	NaN
0.025739	516.90	NaN
0.026104	519.78	NaN
0.026286	521.29	NaN
0.026651	524.02	NaN
0.026833	525.46	NaN
0.027198	528.06	NaN
0.027380	529.43	NaN
0.027472	530.04	NaN
0.027654	531.29	NaN
0.028019	533.79	NaN
0.028201	535.10	NaN
0.028566	537.57	NaN
0.028748	538.81	NaN
0.029113	541.14	NaN
0.029295	542.31	NaN
0.029295	528.67	NaN
0.029478	532.22	NaN
0.029639	533.17	NaN
0.029962	534.84	NaN
0.030123	535.67	NaN
0.030446	537.20	NaN
0.030607	537.97	NaN
0.030930	539.39	NaN
0.031091	540.10	NaN
0.031414	541.40	NaN
0.031575	542.05	NaN
0.031898	543.24	NaN
0.032059	543.84	NaN
0.032382	544.92	NaN
0.032544	545.45	NaN
0.032866	546.55	NaN
0.033028	547.09	NaN
0.033350	548.15	NaN
0.033350	535.88	NaN
0.033528	537.20	NaN
0.033675	537.46	NaN
0.033968	537.98	NaN
0.034115	538.19	NaN
0.034408	538.61	NaN
0.034554	538.78	NaN
0.034848	539.25	NaN
0.034994	539.41	NaN
0.035287	539.80	NaN
0.035434	539.91	NaN
0.035727	540.21	NaN
0.035874	540.27	NaN
0.036167	540.47	NaN
0.036314	540.49	NaN
0.036607	540.60	NaN
0.036753	540.57	NaN
0.037047	540.60	NaN
0.037193	540.52	NaN
0.037486	540.46	NaN
0.037486	528.46	NaN
0.037657	529.10	NaN
0.037801	528.92	NaN
0.038090	528.54	NaN
0.038235	528.26	NaN
0.038524	527.79	NaN
0.038669	527.46	NaN
0.038958	526.89	NaN
0.039102	526.51	NaN
0.039391	525.84	NaN
0.039536	525.41	NaN
0.039825	524.65	NaN
0.039969	524.17	NaN
0.040258	523.32	NaN
0.040403	522.79	NaN
0.040692	521.84	NaN
0.040836	521.27	NaN
0.041125	520.34	NaN
0.041270	519.74	NaN
0.041559	518.74	NaN
0.041559	507.76	NaN
0.041733	507.83	NaN
0.041882	507.11	NaN
0.042181	505.76	NaN
0.042330	504.94	NaN
0.042629	503.49	NaN
0.042779	502.61	NaN
0.043078	501.07	NaN
0.043227	500.14	NaN
0.043526	498.51	NaN
0.043675	497.53	NaN
0.043974	495.80	NaN
0.044124	494.77	NaN
0.044423	492.95	NaN
0.044572	491.87	NaN
0.044871	490.06	NaN
0.045020	488.97	NaN
0.045319	487.10	NaN
0.045469	485.97	NaN
0.045469	474.54	NaN
0.045618	475.56	NaN
0.045768	474.46	NaN
0.046067	472.37	NaN
0.046216	471.10	NaN
0.046515	468.89	NaN
0.046664	467.55	NaN
0.046963	465.24	NaN
0.047113	463.86	NaN
0.047412	461.45	NaN
0.047561	460.01	NaN
0.047860	457.51	NaN
0.048009	456.03	NaN
0.048308	453.43	NaN
0.048458	451.90	NaN
0.048757	449.23	NaN
0.048906	447.68	NaN
0.049205	444.94	NaN
0.049354	443.33	NaN
0.049653	440.51	NaN
0.049653	430.85	NaN
0.049728	430.64	NaN
0.049803	429.78	NaN
0.049952	428.35	NaN
0.050251	425.36	NaN
0.050401	423.60	NaN
0.050699	420.53	NaN
0.050849	418.73	NaN
0.051148	415.58	NaN
0.051297	413.74	NaN
0.051596	410.51	NaN
0.051746	408.61	NaN
0.052045	405.30	NaN
0.052194	403.36	NaN
0.052493	399.96	NaN
0.052642	397.98	NaN
0.052941	394.50	NaN
0.053091	392.48	NaN
0.053390	388.92	NaN
0.053539	386.90	NaN
0.053838	383.43	NaN
0.053838	375.48	NaN
0.054137	373.32	NaN
0.054436	369.02	NaN
0.055033	379.38	NaN
0.055631	386.59	NaN
0.055930	371.83	NaN
0.056080	370.01	NaN
0.056379	365.70	NaN
0.056528	363.12	NaN
0.056827	358.65	NaN
0.056976	356.09	NaN
0.057275	351.69	NaN
0.057425	349.08	NaN
0.057724	344.60	NaN
0.057724	333.79	NaN
0.057849	335.91	NaN
0.057939	334.42	NaN
0.058118	331.68	NaN
0.058478	326.02	NaN
0.058658	322.73	NaN
0.059018	317.08	NaN
0.059198	313.80	NaN
0.059558	308.13	NaN
0.059738	304.78	NaN
0.060097	299.00	NaN
0.060277	295.59	NaN
0.060367	293.78	NaN
0.060547	290.85	NaN
