Time (s)	Shear rate (1/s), Domain Probe 1
0.012281	1877.1
0.012363	1866.0
0.012365	1866.6
0.012367	1866.4
0.012369	1865.8
0.012374	1865.0
0.012384	1863.5
0.012390	1862.8
0.012400	1861.4
0.012420	1858.4
0.012461	1852.5
0.012481	1849.7
0.012484	1849.6
0.012489	1848.9
0.012499	1847.4
0.012519	1844.3
0.012560	1838.2
0.012580	1835.4
0.012590	1834.0
0.012611	1830.9
0.012651	1824.6
0.012672	1821.7
0.012682	1820.2
0.012702	1817.0
0.012743	1810.7
0.012824	1797.7
0.012865	1792.0
0.012870	1791.3
0.012880	1789.6
0.012901	1786.0
0.012901	1786.8
0.012902	47563
0.012904	1794.1
0.012908	1785.2
0.012909	1782.3
0.012913	1782.5
0.012920	1781.8
0.012923	1781.5
0.012930	1780.6
0.012944	1778.1
0.012972	1773.1
0.013028	1763.5
0.013055	1759.1
0.013111	1749.4
0.013139	1744.8
0.013153	1742.6
0.013154	1742.6
0.013158	1742.0
0.013165	1740.9
0.013179	1738.3
0.013207	1733.3
0.013262	1723.7
0.013269	1723.5
0.013273	1722.8
0.013274	1722.5
0.013278	1721.9
0.013285	1720.6
0.013288	1720.1
0.013295	1718.9
0.013309	1716.3
0.013337	1711.4
0.013340	1711.2
0.013347	1709.8
0.013361	1707.4
0.013389	1702.3
0.013393	1702.1
0.013400	1701.1
0.013413	1698.4
0.013441	1693.3
0.013497	1683.1
0.013525	1678.3
0.013539	1675.9
0.013540	1675.7
0.013544	1675.2
0.013551	1673.8
0.013565	1671.3
0.013593	1666.0
0.013606	1663.5
0.013634	1658.2
0.013690	1647.6
0.013718	1642.6
0.013773	1633.0
0.013780	1631.7
0.013794	1628.5
0.013822	1622.7
0.013878	1611.7
0.013905	1606.5
0.013961	1595.7
0.013968	1594.5
0.013982	1592.1
0.014010	1586.0
0.014010	3623.2
0.014011	1.0442E5
0.014012	1610.0
0.014014	1600.2
0.014015	1597.4
0.014017	1594.1
0.014021	1590.5
0.014021	1590.1
0.014022	1589.4
0.014023	1589.0
0.014024	1588.4
0.014026	1587.3
0.014030	1585.6
0.014032	1584.8
0.014036	1583.4
0.014044	1581.1
0.014048	1580.0
0.014056	1578.0
0.014057	1577.8
0.014059	1577.8
0.014063	1576.5
0.014065	1576.0
0.014066	1575.8
0.014068	1575.3
0.014072	1574.3
0.014074	1573.9
0.014078	1573.0
0.014086	1571.2
0.014102	1567.9
0.014135	1561.2
0.014199	1548.0
0.014231	1541.8
0.014295	1528.5
0.014424	1501.1
0.014440	1499.0
0.014473	2118.3
0.014489	1489.0
0.014521	1481.8
0.014585	1467.5
0.014714	1439.3
0.014730	1436.8
0.014762	1429.8
0.014827	1414.9
0.014859	1408.3
0.014875	1405.0
0.014877	1404.4
0.014881	1403.1
0.014889	1401.1
0.014905	1397.6
0.014937	1390.4
0.015002	1376.0
0.015130	1346.7
0.015130	1350.4
0.015131	5276.5
0.015131	1349.0
0.015132	1348.4
0.015133	1347.8
0.015135	1346.9
0.015136	1346.5
0.015138	1345.8
0.015142	1344.7
0.015150	1342.5
0.015154	1341.5
0.015162	1339.6
0.015178	1336.0
0.015210	1328.7
0.015226	1325.2
0.015259	1317.7
0.015323	1302.4
0.015355	1295.2
0.015419	1280.4
0.015548	2666.5
0.015613	1235.4
0.015741	1205.5
0.015745	1205.8
0.015753	54115
0.015770	1199.4
0.015802	1191.2
0.015866	1175.2
0.015898	1167.8
0.015963	1151.6
0.016091	2242.8
0.016156	1104.5
0.016188	1608.6
0.016252	1227.1
0.016252	10047
0.016317	1070.8
0.016381	1051.7
0.016413	1043.5
0.016478	1680.9
0.016607	995.34
0.016623	990.73
0.016631	987.62
0.016647	983.75
0.016679	975.84
0.016743	960.25
0.016872	930.02
0.016937	912.37
0.017065	956.86
0.017130	864.51
0.017258	833.76
0.017323	815.76
0.017323	818.91
0.017339	1897.0
0.017371	803.38
0.017436	788.07
0.017564	757.77
0.017629	739.92
0.017661	731.12
0.017725	715.87
0.017854	685.31
0.018112	625.29
0.018240	590.51
0.018305	572.68
0.018434	602.83
0.018434	545.80
0.018466	5060.3
0.018530	518.53
0.018659	489.67
0.018916	449.17
0.019045	478.35
0.019303	542.69
0.019367	555.40
0.019496	588.48
0.019496	586.04
0.019531	72727
0.019566	5302.9
0.019602	620.02
0.019672	635.41
0.019813	669.62
0.019883	685.45
0.020024	1053.8
0.020095	738.62
0.020235	775.56
0.020306	791.88
0.020447	828.34
0.020464	830.83
0.020499	840.12
0.020570	858.90
0.020570	861.38
0.020587	8435.4
0.020623	871.53
0.020693	890.11
0.020834	1017.8
0.020904	943.87
0.021045	5141.1
0.021116	997.10
0.021257	3228.2
0.021327	1050.9
0.021468	1437.7
0.021485	1089.8
0.021488	1087.2
0.021492	1086.1
0.021501	1087.1
0.021518	1092.7
0.021554	1102.4
0.021624	1120.3
0.021624	1123.6
0.021642	8564.6
0.021677	1132.6
0.021747	1268.3
0.021783	1159.6
0.021800	1163.3
0.021835	1172.2
0.021906	3601.1
0.021941	1198.1
0.022011	2689.2
0.022152	1250.3
0.022223	1266.3
0.022231	1266.5
0.022249	2198.2
0.022284	1279.0
0.022355	1296.3
0.022390	1304.3
0.022460	1576.8
0.022496	1329.7
0.022566	1346.1
0.022707	1379.4
0.022724	1382.1
0.022724	1383.0
0.022729	16705
0.022738	3581.3
0.022755	1385.5
0.022757	1384.9
0.022762	1385.1
0.022771	1386.7
0.022788	1391.3
0.022824	1399.9
0.022894	1416.1
0.023035	1448.0
0.023105	1463.2
0.023114	1464.3
0.023132	1468.2
0.023167	1476.1
0.023184	1479.6
0.023187	1479.2
0.023191	1479.4
0.023193	1479.5
0.023198	1480.2
0.023206	1482.0
0.023224	1486.3
0.023259	1494.4
0.023330	1510.0
0.023365	1517.4
0.023383	1520.7
0.023418	1528.3
0.023488	1543.4
0.023490	1543.1
0.023491	1542.8
0.023494	1542.9
0.023498	1543.5
0.023507	1545.1
0.023511	1545.8
0.023520	1547.6
0.023538	1551.6
0.023573	1559.0
0.023643	1573.7
0.023652	1575.1
0.023657	1575.6
0.023665	1577.0
0.023670	1577.6
0.023679	1579.3
0.023696	1583.0
0.023731	1590.2
0.023749	1593.6
0.023784	1600.8
0.023784	1604.8
0.023819	94519
0.023855	29295
0.023890	3841.6
0.023907	1645.5
0.023910	1644.9
0.023910	1644.8
0.023910	1644.6
0.023912	1644.4
0.023914	1644.2
0.023918	1644.0
0.023927	1643.9
0.023928	1643.9
0.023928	1643.9
0.023928	1643.9
0.023929	1643.9
0.023930	1643.9
0.023931	1643.9
0.023932	1643.9
0.023934	1643.9
0.023938	1644.0
0.023947	1644.6
0.023952	1645.0
0.023954	1645.1
0.023958	1645.5
0.023967	1646.3
0.023971	1646.8
0.023980	1647.5
0.023998	1649.9
0.024033	1655.3
0.024051	1658.0
0.024059	1659.2
0.024077	1662.2
0.024112	1667.9
0.024130	1670.8
0.024165	1676.9
0.024235	1689.2
0.024271	1695.2
0.024341	1707.0
0.024482	3060.8
0.024552	1743.7
0.024561	1745.1
0.024579	1748.5
0.024614	1754.1
0.024684	1766.3
0.024720	1772.2
0.024790	1784.7
0.024790	4462.9
0.024790	1909.7
0.024790	1923.2
0.024790	1899.3
0.024790	1873.5
0.024790	1807.3
0.024790	1782.8
0.024790	1780.1
0.024790	24699
0.024790	91647
0.024790	63529
0.024790	1794.2
0.024790	1788.9
0.024790	4503.2
0.024791	1789.1
0.024791	6940.8
0.024791	1786.6
0.024792	1785.7
0.024794	1785.3
0.024798	1785.4
0.024806	1786.5
0.024810	1787.1
0.024812	1787.4
0.024816	1788.0
0.024818	1788.3
0.024819	1788.5
0.024821	1788.8
0.024822	1788.9
0.024824	1789.2
0.024828	1789.9
0.024836	1791.2
0.024840	1791.8
0.024848	1793.1
0.024864	1795.7
0.024895	1800.7
0.024911	1803.3
0.024943	1809.4
0.025006	1818.3
0.025038	1823.1
0.025101	1832.8
0.025133	1837.3
0.025196	1847.0
0.025323	1866.0
0.025386	2586.3
0.025418	1878.1
0.025482	1887.0
0.025608	1904.6
0.025672	1912.6
0.025798	1929.3
0.025862	1936.6
0.025862	2216.6
0.025925	90874
0.025989	1963.6
0.026052	1968.4
0.026179	1977.0
0.026242	1980.9
0.026274	1983.4
0.026337	1988.9
0.026464	2001.4
0.026480	2003.1
0.026488	2004.3
0.026504	2005.6
0.026535	2007.9
0.026599	2013.7
0.026607	2014.9
0.026611	2015.4
0.026618	2016.4
0.026634	2017.6
0.026666	2020.2
0.026729	2025.2
0.026761	2027.8
0.026824	2032.9
0.026951	2042.2
0.026951	2047.5
0.026952	2045.4
0.026953	2044.3
0.026955	2043.9
0.026959	2044.0
0.026967	2044.4
0.026982	2045.1
0.026984	2045.2
0.026988	2045.7
0.026996	2046.3
0.027012	2047.2
0.027044	2049.3
0.027060	2050.1
0.027091	2052.2
0.027155	2056.2
0.027282	2064.4
0.027297	2065.6
0.027329	2067.2
