Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	1000	27.946	27.952		0.46737	Sdy,Dy_auto
2	631	17.777	28.179		0.2973	Sdy,Dy_auto
3	398	11.313	28.419		0.1892	Sdy,Dy_auto
4	251	7.2834	28.996		0.12181	Sdy,Dy_auto
5	158	4.6194	29.146		0.07726	Sdy,Dy_auto
6	100	3.0765	30.765		0.05145	WMa,Dy_auto
7	63.1	2.1696	34.385		0.03628	WMa,Dy_auto
8	39.8	1.4835	37.263		0.02481	Sdy,Dy_auto
9	25.1	1.0621	42.283		0.01776	Sdy,Dy_auto
10	15.8	0.71875	45.351		0.01202	Sdy,Dy_auto
11	10	0.53205	53.206		0.0089	Sdy,Dy_auto
12	6.31	0.36753	58.249		0.00615	Sdy,Dy_auto
13	3.98	0.39578	99.415		0.00662	Sdy,Dy_auto
14	2.51	0.24504	97.553		0.0041	Sdy,Dy_auto
15	1.58	0.20963	132.26		0.00351	Sdy,Dy_auto
16	1	0.18913	189.13		0.00316	Sdy,Dy_auto
17	0.631	0.17165	272.02		0.00287	Sdy,Dy_auto
18	0.398	0.15697	394.3		0.00263	Sdy,Dy_auto
19	0.251	0.14969	595.9		0.0025	Sdy,Dy_auto
20	0.158	0.13913	877.86		0.00233	Sdy,Dy_auto
21	0.1	0.13271	1327		0.00222	Sdy,Dy_auto
22	0.0631	0.12456	1974.2		0.00208	Sdy,Dy_auto
23	0.0398	0.12025	3020.7		0.00201	Sdy,Dy_auto
24	0.0251	0.117	4657.5		0.00196	Sdy,Dy_auto
25	0.0159	0.11247	7095.4		0.00188	Sdy,Dy_auto
26	0.01	0.10425	10425		0.00174	Sdy,Dy_auto
