Frequency	Storage Modulus	Loss Modulus
[rad/s]	[Pa]	[Pa]
0.628	0.03415	0.12236
0.79128	0.02181	0.1551
0.99224	0.0156	0.18092
1.256	0.02204	0.22476
1.57628	0.02447	0.26404
1.98448	0.03551	0.32024
2.49944	0.0346	0.39579
3.14628	0.03395	0.4692
3.96268	0.04173	0.58898
4.98632	0.05115	0.72918
6.28	0.08267	0.89887
7.9128	0.10499	1.1145
9.9224	0.1506	1.3846
12.56	0.21758	1.7299
15.7628	0.34813	2.1301
19.8448	0.51855	2.7811
24.9944	0.82887	3.4469
31.4628	1.2889	4.3936
39.6268	2.0871	5.6317
49.8632	3.4112	7.3269
62.8	5.0366	9.0555
79.128	7.5661	11.824
99.224	11.927	15.811
125.6	19.068	22.006
157.628	30.042	31.718
198.448	46.828	48.347
249.944	82.655	78.494
314.628	128.99	128.8
396.268	201.15	235.5
498.632	384.25	384.65
628	685.7	335.24
