*******************Nano Measurer 1.2.5*******************
********************************************************
==================Basic report==================
Total	391
Max./um	357.04
Min./um	4.30
Mean/um	88.98
No.	Particle size/um
377	15.49	
378	4.30	
379	15.49	
380	21.48	
381	8.59	
382	30.07	
383	17.18	
384	17.18	
385	13.58	
386	25.77	
387	9.61	
388	45.68	
389	32.72	
390	15.50	
391	33.56	
===============Statistical report===============
Distr./um	Mean/um	Amount	Freq.
4-39.4	21.7	91	23.27%
39.4-74.8	57.1	111	28.39%
74.8-110.2	92.5	76	19.44%
110.2-145.6	127.9	48	12.28%
145.6-181	163.3	27	6.91%
181-216.4	198.7	14	3.58%
216.4-251.8	234.1	16	4.09%
251.8-287.2	269.5	5	1.28%
287.2-322.6	304.9	2	0.51%
322.6-358	340.3	1	0.26%
********************************************************

